timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776828928.391468,1,100.4,detect,ibvs,amazon_tissue_box_pbvs,,,,,,,,,,,0.00,0.00,0.00,0.000000,13872.3,205.26,5.56,-52.85,,,,0.00
1776828942.264185,2,13872.7,detect,ibvs,amazon_tissue_box_pbvs,614,530,-0.023124,0.151192,0.622557,0.000000,0.000000,0.000000,0.4472135954999579,0.6225571035221089,3.00,12.00,-12.00,0.000000,15631.2,208.26,17.56,-64.85,,,,171.98
1776828957.896300,3,15632.1,track,ibvs,amazon_tissue_box_pbvs,626,519,-0.012548,0.142045,0.625173,0.000676,-0.000585,0.000167,11.058041550239096,,3.00,12.00,-12.00,0.000000,14400.0,211.26,29.56,-76.85,,,,159.62
1776828972.296932,4,14400.6,track,ibvs,amazon_tissue_box_pbvs,642,508,0.001802,0.132248,0.625514,0.000993,-0.000660,0.000105,21.716554633681564,,3.00,-1.96,-12.00,0.000000,924.5,214.26,27.60,-88.85,,,,148.01
1776828973.222111,5,925.2,track,ibvs,amazon_tissue_box_pbvs,650,499,0.008125,0.084969,0.439022,0.005948,-0.009248,-0.005031,20.067954628856697,,3.00,-9.99,-12.00,0.000000,985.9,217.26,17.61,-100.85,,,,139.36
1776828974.209042,6,986.9,track,ibvs,amazon_tissue_box_pbvs,639,482,0.002259,0.091154,0.522766,-0.006083,-0.011044,0.002330,0.10162496971540999,0.5226122905842657,3.00,1.04,-12.00,0.000000,942.9,220.26,18.65,-112.85,,,,122.00
1776828975.152594,7,943.6,track,ibvs,amazon_tissue_box_pbvs,637,465,-0.002246,0.078587,0.523911,-0.004796,-0.013313,0.001093,0.4020741460902903,,3.00,3.04,-12.00,0.000000,966.1,223.26,21.68,-124.85,,,,105.04
1776828976.119121,8,966.5,track,ibvs,amazon_tissue_box_pbvs,640,450,-0.000090,0.068204,0.530656,0.002143,-0.011205,0.004132,0.7771082228312658,,3.00,0.02,-12.00,0.000000,907.9,226.26,21.71,-136.85,,,,90.00
1776828977.027597,9,908.5,track,ibvs,amazon_tissue_box_pbvs,641,419,0.000729,0.043896,0.523546,0.000807,-0.025420,0.001079,1.1155981103017927,,3.00,-0.99,-12.00,0.000000,896.7,229.26,20.72,-148.85,,,,59.01
1776828977.924691,10,897.1,track,ibvs,amazon_tissue_box_pbvs,642,394,0.001601,0.026939,0.561042,0.000871,-0.022276,0.011107,1.0343826723303657,,3.00,-2.00,-12.00,0.000000,903.3,232.26,18.73,-160.85,,,,34.06
1776828978.828646,11,904.0,track,ibvs,amazon_tissue_box_pbvs,640,401,-0.000882,0.030837,0.358090,-0.002169,0.011454,-0.036312,0.09994587830399329,0.35718019299767895,3.00,0.01,-12.00,0.000000,985.3,235.26,18.74,-172.85,,,,41.00
1776828979.814562,12,985.9,track,ibvs,amazon_tissue_box_pbvs,640,384,-0.000131,0.012866,0.335994,0.000692,-0.017811,-0.028055,0.183071562048282,,3.00,0.01,-12.00,0.000000,893.2,238.26,18.74,-184.85,,,,24.00
1776828980.708262,13,893.7,track,ibvs,amazon_tissue_box_pbvs,641,370,0.000460,0.004339,0.320889,0.000724,-0.010531,-0.023833,0.2780591627857858,,3.00,0.00,0.00,0.000000,570.3,241.26,18.74,-184.85,,,,10.05
