timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776829022.282703,1,100.6,detect,ekf,amazon_tissue_box_ekf,,,,,,,,,,,0.00,0.00,0.00,0.000000,10129.0,205.25,5.56,-52.85,,,,
1776829032.412971,2,10130.3,detect,ekf,amazon_tissue_box_ekf,616,534,-0.021846,0.158385,0.637179,0.000000,0.000000,0.000000,0.4472135954999579,0.6371791088213593,0.00,0.00,0.00,0.000000,1607.4,205.25,13.56,-52.85,,,,
1776829034.020838,3,1607.9,track,ekf,amazon_tissue_box_ekf,627,525,-0.011913,0.150768,0.639496,0.005947,-0.004560,0.001337,1.1788857532735522,,0.00,0.00,0.00,0.000000,3402.6,205.25,5.57,-44.85,,,,
1776829037.423843,4,3403.0,track,ekf,amazon_tissue_box_ekf,616,543,-0.021246,0.181916,0.708550,-0.002487,0.007350,0.013075,3.4014700572564607,,0.00,0.00,0.00,0.000000,258.3,205.25,5.57,-44.85,,,,
1776829037.682578,5,258.7,track,ekf,amazon_tissue_box_ekf,616,543,-0.022896,0.173454,0.662874,-0.004016,0.005170,0.003764,0.7495751186178702,,0.00,0.00,0.00,0.000000,101.1,205.25,5.57,-44.85,,,,
1776829037.784015,6,101.4,track,ekf,amazon_tissue_box_ekf,616,543,-0.023150,0.175566,0.670995,-0.002879,0.004798,0.007420,0.10199914412025013,0.6721105983077388,0.00,0.00,0.00,0.000000,141.4,205.25,5.57,-44.86,,,,
1776829037.925857,7,141.8,track,ekf,amazon_tissue_box_ekf,616,543,-0.023109,0.175575,0.671216,-0.001164,0.003313,0.009114,0.10755751144397749,,0.00,0.00,0.00,0.000000,147.8,205.25,5.57,-44.86,,,,
1776829038.074487,8,148.6,track,ekf,amazon_tissue_box_ekf,616,543,-0.023097,0.175830,0.672402,-0.000497,0.002694,0.009581,0.12157098819050419,,0.00,0.00,0.00,0.000000,166.1,205.25,5.57,-44.86,,,,
1776829038.241136,9,166.6,track,ekf,amazon_tissue_box_ekf,616,543,-0.023121,0.176214,0.673992,-0.000290,0.002489,0.009674,0.14340341276208307,,0.00,0.00,0.00,0.000000,133.1,205.25,5.56,-52.26,,,,
1776829038.374784,10,133.6,track,ekf,amazon_tissue_box_ekf,616,543,-0.023154,0.176541,0.675286,-0.000267,0.002465,0.009681,0.16384146006052402,,0.00,0.00,0.00,0.000000,123.3,205.25,5.56,-52.26,,,,
1776829038.498476,11,123.7,track,ekf,amazon_tissue_box_ekf,616,540,-0.023051,0.173582,0.672434,-0.000197,-0.007231,0.007628,0.0904625068395467,0.6709775408885597,7.50,2.77,-4.50,0.366914,798.9,205.26,5.56,-52.85,,,,
1776829039.297891,12,799.4,track,ekf,amazon_tissue_box_ekf,623,527,-0.015997,0.157149,0.658797,-0.000369,-0.005780,0.007688,0.1841713743194744,,7.50,1.92,-4.50,0.346853,810.8,220.26,10.25,-61.85,,,,
1776829040.110518,13,812.6,track,ekf,amazon_tissue_box_ekf,627,520,-0.011971,0.147357,0.644857,-0.001391,0.002474,0.006746,0.3056931281933422,,7.50,1.44,-4.50,0.329845,733.6,227.76,11.69,-66.35,,,,
1776829040.844752,14,734.2,track,ekf,amazon_tissue_box_ekf,632,519,-0.007193,0.142851,0.628950,0.001607,0.008991,0.004828,0.4300067356065571,,7.50,0.86,-4.50,0.313482,809.5,235.26,12.55,-70.85,,,,
1776829041.655523,15,810.8,track,ekf,amazon_tissue_box_ekf,634,515,-0.005254,0.136136,0.614719,-0.000407,0.006465,0.005941,0.5797384123111922,,7.50,0.63,-4.50,0.297719,757.6,242.76,13.18,-75.35,,,,
1776829042.413646,16,758.1,track,ekf,amazon_tissue_box_ekf,636,511,-0.003385,0.127914,0.592984,0.000300,0.005860,0.003893,0.10156761113448795,0.5928369680266099,7.50,0.41,-4.50,0.274617,784.7,250.26,13.59,-79.85,,,,
