timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776649270.190517,1,100.5,detect,ekf,cake_box_ekf,670,494,0.024440,0.109165,0.570263,0.000000,0.000000,0.000000,0.4472135954999579,0.5702630333855213,0.00,0.00,0.00,0.000000,2052.0,205.25,5.56,-52.85,,,,
1776649272.242624,2,2052.1,track,ekf,cake_box_ekf,671,494,0.025253,0.109158,0.570229,0.000387,-0.000003,-0.000016,1.4845634945080879,,0.00,0.00,0.00,0.000000,992.0,205.25,13.56,-52.85,,,,
1776649273.234881,3,992.3,track,ekf,cake_box_ekf,689,536,0.039625,0.142152,0.563987,0.014338,0.032726,-0.008292,2.179382928119417,,0.00,0.00,0.00,0.000000,91.1,205.25,13.56,-52.85,,,,
1776649273.326242,4,91.4,track,ekf,cake_box_ekf,697,538,0.044934,0.143039,0.561254,0.046121,0.019339,-0.007976,0.17469891653892083,,0.00,0.00,0.00,0.000000,91.8,205.25,13.56,-52.85,,,,
1776649273.418313,5,92.1,track,ekf,cake_box_ekf,697,538,0.047931,0.147850,0.579190,0.033025,0.016578,0.008664,0.08829985851324597,0.589893892573806,0.00,0.00,0.00,0.000000,120.0,205.25,13.56,-52.85,,,,
1776649273.538627,6,120.3,track,ekf,cake_box_ekf,697,538,0.047435,0.145899,0.572463,0.015482,0.008586,0.016389,0.09174370537403853,,0.00,0.00,0.00,0.000000,90.1,205.25,13.56,-52.85,,,,
1776649273.628944,7,90.3,track,ekf,cake_box_ekf,698,538,0.047676,0.145482,0.571440,0.011018,0.006083,0.017267,0.09790212208197206,,0.00,0.00,0.00,0.000000,91.3,205.25,13.56,-52.85,,,,
1776649273.720579,8,91.6,track,ekf,cake_box_ekf,699,539,0.048415,0.146409,0.573086,0.009691,0.007686,0.016941,0.10760866207750215,,0.00,0.00,0.00,0.000000,91.7,205.25,13.56,-52.85,,,,
1776649273.812455,9,91.9,track,ekf,cake_box_ekf,699,538,0.048684,0.146406,0.574664,0.006878,0.004671,0.018456,0.11919547460110276,,0.00,0.00,0.00,0.000000,91.4,205.25,13.56,-52.85,,,,
1776649273.904115,10,91.7,track,ekf,cake_box_ekf,699,538,0.049555,0.148908,0.585271,0.005280,0.006262,0.028564,0.08160780356203423,0.5908153512564258,0.00,0.00,0.00,0.000000,121.1,205.25,13.56,-52.85,,,,
1776649274.025489,11,121.4,track,ekf,cake_box_ekf,700,539,0.050393,0.150320,0.588644,0.006099,0.008972,0.027887,0.09341514129436748,,0.00,0.00,0.00,0.000000,92.4,205.25,13.56,-52.85,,,,
1776649274.118117,12,92.6,track,ekf,cake_box_ekf,697,538,0.049014,0.150745,0.591942,-0.003010,0.006662,0.029704,0.10356922186521485,,0.00,0.00,0.00,0.000000,93.1,205.25,13.56,-52.85,,,,
1776649274.211508,13,93.4,track,ekf,cake_box_ekf,696,538,0.047867,0.151119,0.594141,-0.006849,0.006092,0.029407,0.11452144234297172,,0.00,0.00,0.00,0.000000,94.4,205.25,13.56,-52.85,,,,
1776649274.306098,14,94.6,track,ekf,cake_box_ekf,696,538,0.047618,0.151826,0.597170,-0.005091,0.006441,0.029509,0.1263134633901774,,0.00,0.00,0.00,0.000000,92.8,205.25,13.56,-52.85,,,,
1776649274.399336,15,93.2,track,ekf,cake_box_ekf,696,538,0.047391,0.151380,0.595440,-0.002625,0.005728,0.024960,0.08310944804989506,0.5929612143219755,0.00,0.00,0.00,0.000000,126.5,205.25,13.56,-52.85,,,,
1776649274.526136,16,126.8,track,ekf,cake_box_ekf,696,538,0.047687,0.152159,0.598470,-0.000013,0.006021,0.024660,0.09404447917674978,,0.00,0.00,0.00,0.000000,92.9,205.25,13.56,-52.85,,,,
1776649274.619210,17,93.1,track,ekf,cake_box_ekf,696,538,0.047946,0.152731,0.600675,0.001196,0.006139,0.024487,0.10280131374637354,,0.00,0.00,0.00,0.000000,93.8,205.25,13.56,-52.85,,,,
1776649274.713445,18,94.2,track,ekf,cake_box_ekf,696,538,0.048183,0.153316,0.602949,0.001782,0.006192,0.024411,0.11227271885027648,,0.00,0.00,0.00,0.000000,93.7,205.25,13.56,-52.85,,,,
1776649274.807399,19,94.0,track,ekf,cake_box_ekf,696,538,0.048399,0.153901,0.605235,0.002003,0.006210,0.024387,0.12223592440393925,,0.00,0.00,0.00,0.000000,92.7,205.25,13.56,-52.85,,,,
1776649274.900371,20,93.0,track,ekf,cake_box_ekf,694,538,0.047400,0.154546,0.607781,-0.003501,0.006328,0.024972,0.08176948010391967,0.6078943208050894,0.00,0.00,0.00,0.000000,123.7,205.25,7.51,-52.85,,,,
1776649275.024288,21,123.9,track,ekf,cake_box_ekf,690,537,0.044395,0.154542,0.610413,-0.013943,0.003704,0.025751,0.09099149889193976,,0.00,0.00,0.00,0.000000,92.1,205.25,7.51,-52.85,,,,
1776649275.116667,22,92.4,track,ekf,cake_box_ekf,687,537,0.041639,0.154628,0.611612,-0.020263,0.003709,0.025062,0.09830862576037687,,0.00,0.00,0.00,0.000000,93.8,205.25,7.51,-52.85,,,,
1776649275.210691,23,94.0,track,ekf,cake_box_ekf,684,538,0.038879,0.155583,0.613153,-0.024003,0.007161,0.023806,0.10634702787082928,,0.00,0.00,0.00,0.000000,95.6,205.25,5.56,-52.85,,,,
1776649275.306538,24,95.8,track,ekf,cake_box_ekf,683,538,0.037475,0.156556,0.615920,-0.020069,0.007959,0.023952,0.11510067638779911,,0.00,0.00,0.00,0.000000,94.0,205.25,5.56,-52.85,,,,
1776649275.400924,25,94.4,track,ekf,cake_box_ekf,681,538,0.036360,0.158732,0.624103,-0.017987,0.008834,0.028754,0.07966983827000733,0.6282195611645266,0.00,0.00,0.00,0.000000,125.2,205.25,5.56,-52.85,,,,
1776649275.526374,26,125.5,track,ekf,cake_box_ekf,681,538,0.036110,0.159648,0.627608,-0.009735,0.008154,0.028716,0.0883392450308645,,0.00,0.00,0.00,0.000000,91.9,205.25,5.56,-52.80,,,,
1776649275.618625,27,92.3,track,ekf,cake_box_ekf,681,538,0.036370,0.160161,0.629682,-0.004383,0.007623,0.028242,0.09531199836527109,,0.00,0.00,0.00,0.000000,93.2,205.25,5.56,-52.80,,,,
1776649275.712045,28,93.4,track,ekf,cake_box_ekf,680,538,0.036077,0.160803,0.632273,-0.003835,0.007355,0.028243,0.10295273480741422,,0.00,0.00,0.00,0.000000,93.8,205.25,5.56,-52.80,,,,
1776649275.806097,29,94.1,track,ekf,cake_box_ekf,680,538,0.036107,0.161457,0.634890,-0.002058,0.007213,0.028176,0.11121210308046818,,0.00,0.00,0.00,0.000000,94.8,205.25,5.56,-52.80,,,,
1776649275.901160,30,95.1,track,ekf,cake_box_ekf,682,541,0.036773,0.160565,0.623846,0.004574,0.012638,0.015281,0.0785327266789108,0.6140830290546474,0.00,0.00,0.00,0.000000,133.9,205.24,5.56,-45.50,,,,
1776649276.035426,31,134.3,detect,ekf,cake_box_ekf,669,497,0.029563,0.136060,0.644917,-0.028494,-0.100658,0.055876,0.0875608547281867,,0.00,0.00,0.00,0.000000,258.5,205.24,5.56,-45.50,,,,
1776649276.294368,32,258.9,track,ekf,cake_box_ekf,669,498,0.028699,0.137208,0.712512,-0.016888,-0.053785,0.091005,0.09312396762632281,,0.00,0.00,0.00,0.000000,97.9,205.24,5.57,-44.85,,,,
1776649276.392500,33,98.1,track,ekf,cake_box_ekf,669,498,0.028367,0.135907,0.703559,-0.007853,-0.021857,0.073698,0.0992642560784703,,0.00,0.00,0.00,0.000000,100.3,205.24,5.57,-44.85,,,,
1776649276.493310,34,100.8,track,ekf,cake_box_ekf,669,498,0.028496,0.136265,0.699735,-0.001982,-0.002227,0.063207,0.10624636498893324,,0.00,0.00,0.00,0.000000,95.9,205.24,5.57,-44.85,,,,
1776649276.589455,35,96.1,track,ekf,cake_box_ekf,668,497,0.025402,0.123697,0.632804,-0.004746,-0.008109,0.004019,0.07625956701235,0.5764729070566831,0.00,0.00,0.00,0.000000,129.6,205.24,5.57,-44.85,,,,
1776649276.719457,36,130.0,track,ekf,cake_box_ekf,668,497,0.025206,0.123625,0.633061,-0.003078,-0.004187,0.003242,0.08491856963847137,,0.00,0.00,0.00,0.000000,97.3,205.24,5.57,-44.85,,,,
1776649276.817118,37,97.7,track,ekf,cake_box_ekf,668,497,0.025210,0.123736,0.633301,-0.001738,-0.001900,0.002765,0.09223266097067084,,0.00,0.00,0.00,0.000000,97.7,205.24,5.57,-44.85,,,,
