timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776649373.186428,1,100.7,detect,ibvs,cake_box_pbvs,669,501,0.023945,0.116424,0.577994,0.000000,0.000000,0.000000,0.4472135954999579,0.5779938492599875,0.00,0.00,0.00,0.000000,2092.9,205.25,5.56,-52.85,,,,0.00
1776649375.279746,2,2093.3,track,ibvs,cake_box_pbvs,669,501,0.023945,0.116424,0.577994,0.000000,0.000000,0.000000,1.5130022927725,,0.00,0.00,0.00,0.000000,1069.0,205.25,13.56,-52.85,,,,0.00
1776649376.349059,3,1069.3,track,ibvs,cake_box_pbvs,680,495,0.033031,0.111517,0.578209,0.008478,-0.004500,0.000555,2.263337859787755,,0.00,0.00,0.00,0.000000,196.0,205.25,13.56,-52.85,,,,0.00
1776649376.545302,4,196.2,track,ibvs,cake_box_pbvs,681,495,0.036586,0.120164,0.623547,0.009096,0.000047,0.013586,0.9808826067476362,,0.00,0.00,0.00,0.000000,101.7,205.25,13.56,-52.85,,,,0.00
1776649376.647359,5,102.1,track,ibvs,cake_box_pbvs,681,495,0.033276,0.109433,0.567376,0.001850,-0.000493,-0.003031,0.101436628999757,0.5671143509799936,0.00,0.00,0.00,0.000000,130.3,205.25,13.56,-52.85,,,,0.00
1776649376.778188,6,130.8,track,ibvs,cake_box_pbvs,681,496,0.033233,0.109921,0.566470,0.000754,0.002221,-0.003282,0.10730452110041613,,0.00,0.00,0.00,0.000000,94.8,205.25,13.56,-52.85,,,,0.00
1776649376.873231,7,95.0,track,ibvs,cake_box_pbvs,680,496,0.032587,0.109986,0.565928,-0.002525,0.001817,-0.002852,0.11425575780398875,,0.00,0.00,0.00,0.000000,201.7,205.25,13.56,-52.85,,,,0.00
1776649377.075127,8,201.9,track,ibvs,cake_box_pbvs,681,495,0.033012,0.109297,0.565872,0.000511,-0.001894,-0.002159,0.13489553781551314,,0.00,0.00,0.00,0.000000,101.1,205.25,13.56,-52.85,,,,0.00
1776649377.176430,9,101.3,track,ibvs,cake_box_pbvs,680,496,0.032543,0.109832,0.566305,-0.002127,0.001022,-0.001931,0.1472785095334624,,0.00,0.00,0.00,0.000000,195.2,205.25,13.56,-52.85,,,,0.00
1776649377.371823,10,195.4,track,ibvs,cake_box_pbvs,681,496,0.033252,0.110750,0.569988,0.001144,0.001433,0.001409,0.08828759131938418,0.5713051044575695,0.00,0.00,0.00,0.000000,135.6,205.25,13.56,-52.85,,,,0.00
1776649377.507704,11,135.9,track,ibvs,cake_box_pbvs,680,497,0.032740,0.111483,0.570235,-0.001713,0.003649,0.001234,0.09970512448852226,,0.00,0.00,0.00,0.000000,199.0,205.25,13.55,-52.85,,,,0.00
1776649377.706867,12,199.2,track,ibvs,cake_box_pbvs,681,496,0.033319,0.111099,0.570989,0.001373,-0.000307,0.002145,0.1201829396905835,,0.00,0.00,0.00,0.000000,100.2,205.25,13.55,-52.85,,,,0.00
1776649377.807315,13,100.4,track,ibvs,cake_box_pbvs,680,496,0.032856,0.111047,0.571457,-0.001545,-0.000574,0.002556,0.131650917611099,,0.00,0.00,0.00,0.000000,94.9,205.25,13.55,-52.85,,,,0.00
1776649377.902463,14,95.1,track,ibvs,cake_box_pbvs,693,550,0.040647,0.144024,0.573466,0.035538,0.154997,-0.022599,0.1432445100980783,,0.00,0.00,0.00,0.000000,100.9,205.25,8.76,-52.85,,,,0.00
1776649378.003583,15,101.1,track,ibvs,cake_box_pbvs,693,546,0.045895,0.162338,0.604364,0.036071,0.143101,0.007893,0.0691086307782903,0.5714651627572479,0.00,0.00,0.00,0.000000,132.8,205.25,8.76,-52.85,,,,0.00
1776649378.136877,16,133.3,track,ibvs,cake_box_pbvs,693,551,0.048016,0.172719,0.619069,0.023395,0.101617,0.040440,0.077744866875668,,0.00,0.00,0.00,0.000000,93.3,205.25,8.76,-52.85,,,,0.00
1776649378.230408,17,93.5,track,ibvs,cake_box_pbvs,715,559,0.061776,0.178571,0.622751,0.076441,0.085275,0.041529,0.08352800385657003,,0.00,0.00,0.00,0.000000,94.0,205.25,5.56,-52.85,,,,0.00
1776649378.324588,18,94.2,track,ibvs,cake_box_pbvs,712,559,0.066189,0.181762,0.630640,0.063305,0.061875,0.057778,0.08898370801077049,,0.00,0.00,0.00,0.000000,95.9,205.25,5.56,-52.85,,,,0.00
1776649378.420699,19,96.1,track,ibvs,cake_box_pbvs,709,558,0.065356,0.181638,0.634396,0.033537,0.039458,0.068642,0.09711489594887436,,0.00,0.00,0.00,0.000000,98.7,205.25,5.56,-52.85,,,,0.00
1776649378.519579,20,98.9,track,ibvs,cake_box_pbvs,701,560,0.056694,0.175992,0.614373,-0.009408,0.026937,0.051781,0.07448900935238872,0.6038809907044188,0.00,0.00,0.00,0.000000,127.7,205.25,5.56,-52.85,,,,0.00
1776649378.647863,21,128.3,track,ibvs,cake_box_pbvs,710,559,0.061339,0.179510,0.628982,0.011438,0.019800,0.058738,0.08281932111592157,,0.00,0.00,0.00,0.000000,100.0,205.25,5.57,-51.80,,,,0.00
1776649378.748115,22,100.3,track,ibvs,cake_box_pbvs,709,558,0.062545,0.180107,0.634842,0.011809,0.013971,0.059962,0.09091277347490524,,0.00,0.00,0.00,0.000000,97.5,205.25,5.57,-51.80,,,,0.00
1776649378.845812,23,97.7,track,ibvs,cake_box_pbvs,709,559,0.063338,0.182007,0.640911,0.010089,0.016089,0.059837,0.09950302347306249,,0.00,0.00,0.00,0.000000,97.3,205.25,5.57,-51.80,,,,0.00
1776649378.943361,24,97.5,track,ibvs,cake_box_pbvs,709,561,0.063864,0.184899,0.646097,0.008175,0.022399,0.058049,0.10869465212478041,,0.00,0.00,0.00,0.000000,104.0,205.25,5.57,-51.80,,,,0.00
1776649379.047615,25,104.3,track,ibvs,cake_box_pbvs,705,559,0.060700,0.182875,0.641540,-0.005463,0.014466,0.051020,0.07872083370042388,0.6321730843858028,0.00,0.00,0.00,0.000000,136.8,205.24,5.56,-44.85,,,,0.00
1776649379.184788,26,137.2,track,ibvs,cake_box_pbvs,706,566,0.060869,0.189471,0.648276,-0.002134,0.031705,0.046815,0.08856206119569908,,0.00,0.00,0.00,0.000000,95.4,205.24,5.56,-44.85,,,,0.00
1776649379.280470,27,95.7,track,ibvs,cake_box_pbvs,704,566,0.060014,0.192342,0.653197,-0.005133,0.030634,0.047671,0.09585642082542334,,0.00,0.00,0.00,0.000000,102.4,205.24,5.56,-44.85,,,,0.00
