timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z
1776646371.703247,1,100.6,detect,ekf,cardboard_box_ekf,598,469,-0.033970,0.088160,0.566165,0.000000,0.000000,0.000000,0.4472135954999579,0.5661652080368748,0.00,0.00,0.00,0.000000,2124.3,205.25,5.56,-52.85,,,
1776646373.828015,2,2124.8,track,ekf,cardboard_box_ekf,620,462,-0.016293,0.082800,0.568102,0.008139,-0.002468,0.000873,1.53499050389518,,0.00,0.00,0.00,0.000000,980.3,205.25,13.56,-52.85,,,
1776646374.808598,3,980.6,track,ekf,cardboard_box_ekf,636,485,-0.003343,0.102429,0.574942,0.013594,0.018860,0.000121,1.9106387061482135,,0.00,0.00,0.00,0.000000,94.7,205.25,13.56,-52.85,,,
1776646374.903542,4,94.9,track,ekf,cardboard_box_ekf,633,478,-0.006061,0.130389,0.759816,0.004390,0.027092,0.059063,0.2983229405493468,,0.00,0.00,0.00,0.000000,93.0,205.25,13.56,-52.85,,,
1776646374.996836,5,93.3,track,ekf,cardboard_box_ekf,633,482,-0.006213,0.099657,0.579226,-0.010381,-0.007517,-0.004063,0.09496937687813431,0.5514265848707529,0.00,0.00,0.00,0.000000,122.4,205.25,13.56,-52.85,,,
1776646375.119507,6,122.7,track,ekf,cardboard_box_ekf,633,482,-0.006092,0.101215,0.582592,-0.004305,0.000045,-0.005805,0.09912296963913673,,0.00,0.00,0.00,0.000000,105.5,205.25,13.56,-52.85,,,
1776646375.225218,7,105.7,track,ekf,cardboard_box_ekf,633,483,-0.006000,0.102027,0.582075,-0.001870,0.003343,-0.007055,0.10779204649863276,,0.00,0.00,0.00,0.000000,101.9,205.25,13.56,-52.85,,,
1776646375.327381,8,102.2,track,ekf,cardboard_box_ekf,633,483,-0.005912,0.102203,0.581325,-0.000608,0.002643,-0.006879,0.11841363685569394,,0.00,0.00,0.00,0.000000,98.7,205.25,13.56,-52.85,,,
1776646375.426289,9,98.9,track,ekf,cardboard_box_ekf,633,483,-0.005851,0.102144,0.580642,-0.000056,0.001222,-0.006570,0.13032373527444086,,0.00,0.00,0.00,0.000000,96.0,205.25,13.56,-52.85,,,
1776646375.522700,10,96.4,track,ekf,cardboard_box_ekf,633,482,-0.005567,0.097090,0.555525,0.000316,-0.006863,-0.029530,0.08301616649537764,0.5432313780092995,0.00,0.00,0.00,0.000000,136.8,205.25,13.56,-52.85,,,
1776646375.659822,11,137.1,track,ekf,cardboard_box_ekf,632,463,-0.006140,0.083733,0.550234,-0.002262,-0.054996,-0.023702,0.09552738745784098,,0.00,0.00,0.00,0.000000,95.3,205.25,13.56,-52.85,,,
1776646375.755506,12,95.7,track,ekf,cardboard_box_ekf,632,463,-0.006370,0.081194,0.555378,-0.002044,-0.047067,-0.016733,0.0997234894846157,,0.00,0.00,0.00,0.000000,101.2,205.25,13.56,-52.85,,,
1776646375.857126,13,101.6,track,ekf,cardboard_box_ekf,632,461,-0.006418,0.079312,0.555884,-0.001213,-0.034800,-0.014711,0.11081509047380378,,0.00,0.00,0.00,0.000000,101.5,205.25,13.56,-52.85,,,
1776646375.958841,14,101.7,track,ekf,cardboard_box_ekf,632,461,-0.006345,0.078422,0.550703,-0.000463,-0.020499,-0.018172,0.122791663467,,0.00,0.00,0.00,0.000000,103.1,205.25,13.56,-52.85,,,
1776646376.062223,15,103.4,track,ekf,cardboard_box_ekf,632,462,-0.006268,0.078655,0.545840,-0.000019,-0.008197,-0.021019,0.0810249238167427,0.5477624148771969,0.00,0.00,0.00,0.000000,134.9,205.25,13.56,-52.85,,,
1776646376.198133,16,135.9,track,ekf,cardboard_box_ekf,632,461,-0.006212,0.078118,0.542462,0.000202,-0.005621,-0.021639,0.09234254947362369,,0.00,0.00,0.00,0.000000,94.8,205.25,13.56,-52.85,,,
1776646376.293143,17,95.0,track,ekf,cardboard_box_ekf,632,462,-0.006177,0.078399,0.540070,0.000267,-0.001622,-0.022345,0.10122562373812254,,0.00,0.00,0.00,0.000000,97.0,205.25,13.56,-52.85,,,
1776646376.390337,18,97.2,track,ekf,cardboard_box_ekf,632,461,-0.006150,0.077800,0.538094,0.000275,-0.003803,-0.021902,0.11098242101037971,,0.00,0.00,0.00,0.000000,97.5,205.26,10.47,-52.85,,,
1776646376.488308,19,98.0,track,ekf,cardboard_box_ekf,632,462,-0.006126,0.077944,0.536072,0.000270,-0.001476,-0.022089,0.12138718574700755,,0.00,0.00,0.00,0.000000,100.6,205.26,10.47,-52.85,,,
1776646376.589086,20,100.8,track,ekf,cardboard_box_ekf,630,461,-0.007335,0.078394,0.541928,-0.005121,-0.003071,-0.014849,0.08055859243665904,0.5465578721480921,0.00,0.00,0.00,0.000000,133.3,205.26,10.47,-52.85,,,
1776646376.722701,21,133.6,track,ekf,cardboard_box_ekf,628,462,-0.009007,0.078499,0.539647,-0.009219,-0.000836,-0.015424,0.09050549077414165,,0.00,0.00,0.00,0.000000,94.3,205.25,5.56,-52.85,,,
1776646376.817306,22,94.6,track,ekf,cardboard_box_ekf,623,462,-0.012218,0.078235,0.536902,-0.020384,-0.001011,-0.016721,0.09822602541323933,,0.00,0.00,0.00,0.000000,95.8,205.25,5.56,-52.85,,,
1776646376.913322,23,96.0,track,ekf,cardboard_box_ekf,621,462,-0.014429,0.077986,0.534951,-0.021620,-0.001541,-0.016989,0.10631565044485723,,0.00,0.00,0.00,0.000000,98.0,205.25,5.56,-52.85,,,
1776646377.011559,24,98.2,track,ekf,cardboard_box_ekf,621,462,-0.015039,0.077902,0.534409,-0.014410,-0.001806,-0.015673,0.1154302149951139,,0.00,0.00,0.00,0.000000,96.6,205.25,5.56,-52.85,,,
1776646377.108368,25,96.8,track,ekf,cardboard_box_ekf,621,462,-0.015961,0.082221,0.564117,-0.009119,0.001653,0.009985,0.078751423916412,0.5852878751887456,0.00,0.00,0.00,0.000000,128.7,205.25,5.56,-52.64,,,
1776646377.237471,26,129.1,track,ekf,cardboard_box_ekf,620,462,-0.016364,0.082361,0.565153,-0.005893,0.001494,0.009974,0.0876237896601005,,0.00,0.00,0.00,0.000000,98.4,205.25,5.56,-52.64,,,
1776646377.336174,27,98.7,track,ekf,cardboard_box_ekf,620,462,-0.016375,0.082478,0.566005,-0.003281,0.001445,0.009981,0.0951624535595428,,0.00,0.00,0.00,0.000000,96.7,205.25,5.56,-52.64,,,
1776646377.433081,28,96.9,track,ekf,cardboard_box_ekf,620,463,-0.016329,0.083188,0.566833,-0.001590,0.004158,0.009596,0.10319149983547356,,0.00,0.00,0.00,0.000000,97.0,205.25,5.57,-47.04,,,
1776646377.530254,29,97.2,track,ekf,cardboard_box_ekf,621,465,-0.015687,0.084658,0.567205,0.002059,0.009356,0.008607,0.11178656383159206,,0.00,0.00,0.00,0.000000,98.2,205.25,5.57,-47.04,,,
1776646377.628602,30,98.3,track,ekf,cardboard_box_ekf,620,468,-0.016798,0.091245,0.595846,-0.000835,0.019847,0.029770,0.07776005308785082,0.6161902784021464,0.00,0.00,0.00,0.000000,130.6,205.25,5.57,-47.04,,,
1776646377.759592,31,131.0,detect,ekf,cardboard_box_ekf,599,477,-0.030818,0.098102,0.595272,-0.058398,0.039108,0.022583,0.08652229255748349,,0.00,0.00,0.00,0.000000,258.4,205.25,5.56,-44.85,,,
1776646378.018552,32,259.0,track,ekf,cardboard_box_ekf,598,481,-0.038564,0.108132,0.622562,-0.036622,0.032523,0.041378,0.10173394246696967,,0.00,0.00,0.00,0.000000,97.3,205.25,5.56,-44.85,,,
1776646378.116061,33,97.5,track,ekf,cardboard_box_ekf,598,481,-0.038333,0.107864,0.619637,-0.019898,0.021064,0.039438,0.10898724302242001,,0.00,0.00,0.00,0.000000,97.1,205.25,5.56,-44.85,,,
