timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776647569.723572,1,100.6,detect,foundationpose,cardboard_box_fp,631,457,-0.008224,0.085461,0.618728,0.000000,0.000000,0.000000,0.3,0.6187277436256409,0.00,0.00,0.00,0.000000,2549.7,205.26,5.56,-52.85,-0.008224,0.085461,0.618728,
1776647572.273900,2,2550.3,track,foundationpose,cardboard_box_fp,630,458,-0.008601,0.086311,0.618709,-0.000147,0.000331,-0.000007,0.013856271372034901,0.61870938539505,0.00,0.00,0.00,0.000000,62.8,205.26,5.56,-52.85,-0.008601,0.086311,0.618709,
1776647572.337044,3,63.1,track,foundationpose,cardboard_box_fp,630,457,-0.008519,0.086043,0.618768,0.000752,-0.002489,0.000602,0.012009684710325602,0.6187865138053894,0.00,0.00,0.00,0.000000,33.3,205.26,5.56,-52.85,-0.008487,0.085944,0.618787,
1776647572.370638,4,33.6,track,foundationpose,cardboard_box_fp,630,457,-0.008645,0.086063,0.618767,-0.000757,-0.001458,0.000387,0.010860516573796915,0.6187546253204346,0.00,0.00,0.00,0.000000,32.8,205.26,5.56,-52.85,-0.008741,0.086129,0.618755,
1776647572.403665,5,33.0,track,foundationpose,cardboard_box_fp,631,458,-0.008366,0.086123,0.618765,0.002022,-0.000461,0.000248,0.010327390340082197,0.6187533736228943,0.00,0.00,0.00,0.000000,31.4,205.26,5.56,-52.85,-0.008121,0.086211,0.618753,
1776647572.435417,6,31.8,track,foundationpose,cardboard_box_fp,631,457,-0.008341,0.086059,0.618806,0.001702,-0.000869,0.000520,0.009888502901980494,0.6188373565673828,0.00,0.00,0.00,0.000000,34.8,205.26,5.56,-52.85,-0.008379,0.086010,0.618837,
1776647572.470437,7,35.0,track,foundationpose,cardboard_box_fp,630,457,-0.008343,0.086103,0.618873,0.001255,-0.000332,0.000874,0.009673786394675796,0.618924081325531,0.00,0.00,0.00,0.000000,20.5,205.26,5.56,-52.85,-0.008409,0.086182,0.618924,
1776647572.491189,8,20.8,track,foundationpose,cardboard_box_fp,631,457,-0.008334,0.086082,0.618898,0.001141,-0.000426,0.000921,0.008857247366183357,0.6189077496528625,0.00,0.00,0.00,0.000000,15.8,205.26,5.56,-52.85,-0.008358,0.086062,0.618908,
1776647572.507230,9,16.0,track,foundationpose,cardboard_box_fp,630,458,-0.008380,0.086153,0.618910,0.000714,0.000088,0.000904,0.00818362713512558,0.6189055442810059,0.00,0.00,0.00,0.000000,14.5,205.26,5.56,-52.85,-0.008500,0.086297,0.618906,
1776647572.522024,10,14.8,track,foundationpose,cardboard_box_fp,630,457,-0.008423,0.086130,0.618898,0.000363,-0.000067,0.000739,0.007718399533159891,0.6188426613807678,0.00,0.00,0.00,0.000000,16.2,205.26,5.56,-52.85,-0.008542,0.086078,0.618843,
