timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776647616.462850,1,100.6,detect,ibvs,cardboard_box_pbvs,628,469,-0.009506,0.086349,0.554535,0.000000,0.000000,0.000000,0.4472135954999579,0.5545352110917511,0.00,0.00,0.00,0.000000,2222.9,205.26,5.56,-52.85,,,,0.00
1776647618.686079,2,2223.2,track,ibvs,cardboard_box_pbvs,651,484,0.008740,0.097994,0.553005,0.008044,0.005133,-0.000661,1.6032526499989121,,0.00,0.00,0.00,0.000000,971.3,205.26,13.56,-52.85,,,,0.00
1776647619.657645,3,971.6,track,ibvs,cardboard_box_pbvs,661,463,0.018715,0.094645,0.623993,0.011088,-0.010951,0.024336,1.8594222680742916,,0.00,0.00,0.00,0.000000,91.7,205.26,13.56,-52.85,,,,0.00
1776647619.749700,4,92.1,track,ibvs,cardboard_box_pbvs,662,461,0.017084,0.078111,0.544215,0.008064,-0.017845,-0.000076,0.31645695037375443,,0.00,0.00,0.00,0.000000,92.1,205.26,13.56,-52.85,,,,0.00
1776647619.842057,5,92.4,track,ibvs,cardboard_box_pbvs,662,462,0.017508,0.080030,0.552804,0.004743,-0.005048,0.003115,0.09666984596150538,0.5543090767314429,0.00,0.00,0.00,0.000000,122.0,205.26,13.56,-52.85,,,,0.00
1776647619.964287,6,122.2,track,ibvs,cardboard_box_pbvs,662,461,0.017489,0.079622,0.552321,0.002155,-0.003446,0.003282,0.1007174462880793,,0.00,0.00,0.00,0.000000,89.1,205.26,13.56,-52.85,,,,0.00
1776647620.053692,7,89.4,track,ibvs,cardboard_box_pbvs,662,461,0.017432,0.079535,0.551993,0.001054,-0.001941,0.003234,0.10717566740637255,,0.00,0.00,0.00,0.000000,90.4,205.26,13.56,-52.85,,,,0.00
1776647620.144454,8,90.8,track,ibvs,cardboard_box_pbvs,662,461,0.017396,0.079554,0.551990,0.000461,-0.000802,0.003141,0.11601613163494501,,0.00,0.00,0.00,0.000000,91.6,205.26,13.56,-52.85,,,,0.00
1776647620.236295,9,91.8,track,ibvs,cardboard_box_pbvs,662,461,0.017377,0.079614,0.552174,0.000182,-0.000104,0.003060,0.1266116061332645,,0.00,0.00,0.00,0.000000,91.3,205.26,13.56,-52.85,,,,0.00
1776647620.327794,10,91.5,track,ibvs,cardboard_box_pbvs,662,461,0.017106,0.078470,0.544027,-0.000167,-0.000925,-0.005139,0.08179917651805108,0.5395397456731644,0.00,0.00,0.00,0.000000,122.2,205.26,13.56,-52.85,,,,0.00
1776647620.450321,11,122.5,track,ibvs,cardboard_box_pbvs,662,461,0.017080,0.078394,0.543393,-0.000193,-0.000767,-0.005159,0.09288175747609655,,0.00,0.00,0.00,0.000000,90.3,205.26,13.56,-52.85,,,,0.00
1776647620.540945,12,90.6,track,ibvs,cardboard_box_pbvs,661,461,0.016500,0.078336,0.542945,-0.002871,-0.000718,-0.005088,0.10246906864791659,,0.00,0.00,0.00,0.000000,93.6,205.26,13.56,-52.85,,,,0.00
1776647620.634783,13,93.8,track,ibvs,cardboard_box_pbvs,661,454,0.016276,0.074377,0.543009,-0.002662,-0.019383,-0.002321,0.11338652222512949,,0.00,0.00,0.00,0.000000,92.6,205.26,13.56,-52.85,,,,0.00
1776647620.727735,14,93.0,track,ibvs,cardboard_box_pbvs,662,461,0.017103,0.078248,0.553679,0.001143,0.001512,0.006575,0.12370081811514178,,0.00,0.00,0.00,0.000000,93.5,205.26,13.56,-52.85,,,,0.00
1776647620.821445,15,93.7,track,ibvs,cardboard_box_pbvs,661,453,0.016718,0.074640,0.551950,-0.000887,-0.014863,0.005660,0.08108111438669144,0.5459838814484482,0.00,0.00,0.00,0.000000,124.7,205.26,13.56,-52.85,,,,0.00
1776647620.946512,16,125.1,track,ibvs,cardboard_box_pbvs,662,462,0.017325,0.079384,0.556542,0.001701,0.010983,0.007193,0.09168449889055537,,0.00,0.00,0.00,0.000000,89.6,205.26,13.56,-52.85,,,,0.00
1776647621.036361,17,89.8,track,ibvs,cardboard_box_pbvs,661,454,0.017205,0.077631,0.566107,-0.000580,-0.006461,0.017586,0.09929151720691441,,0.00,0.00,0.00,0.000000,94.5,205.26,13.56,-52.85,,,,0.00
1776647621.131151,18,94.8,track,ibvs,cardboard_box_pbvs,661,454,0.017046,0.076374,0.567145,-0.000989,-0.009156,0.017280,0.10858728216170004,,0.00,0.00,0.00,0.000000,92.3,205.26,13.56,-52.85,,,,0.00
1776647621.223751,19,92.6,track,ibvs,cardboard_box_pbvs,662,462,0.017754,0.081413,0.573317,0.002176,0.015878,0.018769,0.11832780250478024,,0.00,0.00,0.00,0.000000,92.0,205.26,13.56,-52.85,,,,0.00
1776647621.316027,20,92.3,track,ibvs,cardboard_box_pbvs,661,453,0.016708,0.074862,0.550834,-0.000832,-0.008968,-0.000548,0.07927491714677495,0.5262434502872468,0.00,0.00,0.00,0.000000,124.5,205.26,8.10,-52.85,,,,0.00
1776647621.440829,21,124.8,track,ibvs,cardboard_box_pbvs,659,462,0.015409,0.079375,0.554328,-0.006248,0.012697,0.000314,0.08846340000589031,,0.00,0.00,0.00,0.000000,90.2,205.26,8.10,-52.85,,,,0.00
