timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776647912.193123,1,100.6,detect,ekf,cheez_it_box_ekf,657,477,0.013401,0.092230,0.551803,0.000000,0.000000,0.000000,0.4472135954999579,0.5518026802653873,0.00,0.00,0.00,0.000000,2190.4,205.25,5.56,-52.85,,,,
1776647914.383947,2,2190.8,track,ekf,cheez_it_box_ekf,657,477,0.013401,0.092230,0.551803,0.000000,0.000000,0.000000,1.5807284200198728,,0.00,0.00,0.00,0.000000,1064.2,205.25,13.56,-52.85,,,,
1776647915.448408,3,1064.5,track,ekf,cheez_it_box_ekf,668,472,0.022071,0.088318,0.551965,0.008120,-0.003618,0.000408,2.328476759943397,,0.00,0.00,0.00,0.000000,186.0,205.25,13.56,-52.85,,,,
1776647915.634674,4,186.3,track,ekf,cheez_it_box_ekf,668,471,0.024471,0.096357,0.607411,0.006327,-0.003475,0.016860,0.9711435326776013,,0.00,0.00,0.00,0.000000,183.6,205.25,13.56,-52.85,,,,
1776647915.818496,5,183.8,track,ekf,cheez_it_box_ekf,668,471,0.021508,0.085709,0.540352,-0.000615,-0.001508,-0.002933,0.10060839425433828,0.5399726797950155,0.00,0.00,0.00,0.000000,211.6,205.25,13.56,-52.85,,,,
1776647916.030325,6,211.8,track,ekf,cheez_it_box_ekf,669,472,0.022271,0.086274,0.539760,0.002288,0.001287,-0.003555,0.11221190100169715,,0.00,0.00,0.00,0.000000,178.6,205.25,13.56,-52.85,,,,
1776647916.209110,7,178.8,track,ekf,cheez_it_box_ekf,669,472,0.022385,0.086317,0.539301,0.001146,0.000514,-0.003261,0.12945373678791966,,0.00,0.00,0.00,0.000000,182.3,205.25,13.56,-52.85,,,,
1776647916.391687,8,182.6,track,ekf,cheez_it_box_ekf,669,472,0.022351,0.086220,0.538711,0.000252,-0.000180,-0.003127,0.15195728824893043,,0.00,0.00,0.00,0.000000,182.4,205.25,13.56,-52.85,,,,
1776647916.574321,9,182.6,track,ekf,cheez_it_box_ekf,668,471,0.021630,0.085428,0.538090,-0.002561,-0.002895,-0.002704,0.1778459550361445,,0.00,0.00,0.00,0.000000,183.5,205.25,13.56,-52.85,,,,
1776647916.758016,10,183.7,track,ekf,cheez_it_box_ekf,668,472,0.021541,0.086195,0.539576,-0.001413,0.000896,-0.001657,0.09112165313501082,0.5399064927754258,0.00,0.00,0.00,0.000000,221.3,205.25,13.56,-52.85,,,,
1776647916.979591,11,221.6,track,ekf,cheez_it_box_ekf,667,474,0.020825,0.087624,0.538852,-0.002713,0.005007,-0.002391,0.10955033077841898,,0.00,0.00,0.00,0.000000,182.5,205.26,7.59,-52.85,,,,
1776647917.162273,12,182.7,track,ekf,cheez_it_box_ekf,666,478,0.019996,0.090320,0.537302,-0.003873,0.012144,-0.004206,0.1278868690309487,,0.00,0.00,0.00,0.000000,186.9,205.26,7.59,-52.85,,,,
1776647917.349416,13,187.1,track,ekf,cheez_it_box_ekf,660,478,0.015839,0.090942,0.538008,-0.016548,0.005583,-0.001768,0.1486961224390757,,0.00,0.00,0.00,0.000000,185.3,205.25,5.56,-52.85,,,,
1776647917.534899,14,185.5,track,ekf,cheez_it_box_ekf,657,479,0.013027,0.091501,0.537843,-0.015611,0.003793,-0.001366,0.16948376496898698,,0.00,0.00,0.00,0.000000,187.5,205.25,5.56,-52.85,,,,
1776647917.722578,15,187.7,track,ekf,cheez_it_box_ekf,657,479,0.012945,0.093644,0.550167,-0.006268,0.002733,0.007813,0.09010033101450524,0.5535174400319244,0.00,0.00,0.00,0.000000,219.1,205.26,5.56,-50.23,,,,
1776647917.941971,16,219.4,track,ekf,cheez_it_box_ekf,657,480,0.013207,0.094462,0.551234,-0.000822,0.003740,0.007296,0.10557693730774606,,0.00,0.00,0.00,0.000000,185.7,205.26,5.56,-50.23,,,,
1776647918.127883,17,185.9,track,ekf,cheez_it_box_ekf,657,484,0.013358,0.097424,0.551760,0.000334,0.012407,0.005488,0.12128220753961082,,0.00,0.00,0.00,0.000000,183.4,205.25,5.57,-44.85,,,,
1776647918.311529,18,183.6,track,ekf,cheez_it_box_ekf,658,488,0.014085,0.100679,0.551476,0.002859,0.016563,0.003894,0.13844139439549819,,0.00,0.00,0.00,0.000000,183.6,205.25,5.57,-44.85,,,,
1776647918.495380,19,183.9,track,ekf,cheez_it_box_ekf,657,488,0.013622,0.101754,0.554573,-0.000900,0.008324,0.007043,0.15747660796279214,,0.00,0.00,0.00,0.000000,191.1,205.25,5.57,-44.85,,,,
1776647918.686818,20,191.4,track,ekf,cheez_it_box_ekf,657,488,0.013611,0.102741,0.560684,-0.000657,0.003743,0.011098,0.08860271630739365,0.5626858679307983,0.00,0.00,0.00,0.000000,240.5,205.25,5.57,-44.85,,,,
1776647918.927601,21,240.8,track,ekf,cheez_it_box_ekf,657,488,0.013661,0.103067,0.563351,-0.000008,0.002012,0.011355,0.1048352862465923,,0.00,0.00,0.00,0.000000,195.6,205.25,5.57,-44.85,,,,
1776647919.123464,22,195.9,track,ekf,cheez_it_box_ekf,657,488,0.013727,0.103424,0.565575,0.000237,0.001879,0.011371,0.12091824607935342,,0.00,0.00,0.00,0.000000,193.5,205.25,5.57,-44.85,,,,
1776647919.317243,23,193.8,track,ekf,cheez_it_box_ekf,657,488,0.013787,0.103817,0.567771,0.000287,0.001983,0.011349,0.13905777383102574,,0.00,0.00,0.00,0.000000,192.5,205.25,5.57,-44.85,,,,
1776647919.509941,24,192.7,track,ekf,cheez_it_box_ekf,657,489,0.013838,0.104905,0.569785,0.000277,0.004529,0.010864,0.1589955590768685,,0.00,0.00,0.00,0.000000,192.3,205.25,5.57,-44.85,,,,
1776647919.702453,25,192.5,track,ekf,cheez_it_box_ekf,657,488,0.013566,0.102265,0.558598,0.000071,-0.000798,0.002907,0.0888406912385165,0.5541811687904,0.00,0.00,0.00,0.000000,223.0,205.25,5.57,-45.45,,,,
1776647919.925761,26,223.3,track,ekf,cheez_it_box_ekf,657,488,0.013582,0.102246,0.559246,0.000069,-0.000294,0.002831,0.1035825626770699,,0.00,0.00,0.00,0.000000,187.2,205.25,5.57,-45.45,,,,
1776647920.113212,27,187.5,track,ekf,cheez_it_box_ekf,657,485,0.013604,0.100294,0.560176,0.000094,-0.007362,0.004147,0.11864475218608833,,0.00,0.00,0.00,0.000000,191.3,205.25,5.56,-52.55,,,,
1776647920.304713,28,191.5,track,ekf,cheez_it_box_ekf,658,477,0.014281,0.094015,0.559024,0.002640,-0.023450,0.004976,0.13602941992773,,7.50,-1.71,-4.50,0.229638,843.0,205.26,5.56,-52.85,,,,
1776647921.148330,29,843.6,track,ekf,cheez_it_box_ekf,657,471,0.013701,0.088634,0.567543,0.004452,0.003328,0.016547,0.22307424395507897,,7.50,-1.64,-4.50,0.235305,794.3,220.26,2.21,-61.85,,,,
1776647921.942924,30,794.6,track,ekf,cheez_it_box_ekf,661,469,0.016571,0.085833,0.550471,0.009162,0.012198,0.011622,0.09660752197977308,0.5501943301414092,7.50,-1.99,-4.50,0.218702,880.9,227.76,0.22,-66.35,,,,
1776647922.824087,31,881.2,track,ekf,cheez_it_box_ekf,661,466,0.016186,0.081654,0.539177,0.006253,0.010290,0.012113,0.1675076693487822,,7.50,-1.94,-4.50,0.206682,842.0,235.26,-1.72,-70.85,,,,
1776647923.666305,32,842.2,track,ekf,cheez_it_box_ekf,659,460,0.014346,0.075484,0.528341,0.004337,0.007766,0.012408,0.27156303672649196,,7.50,-1.72,-4.50,0.194189,844.6,242.76,-3.45,-75.35,,,,
1776647924.511133,33,844.8,track,ekf,cheez_it_box_ekf,657,454,0.012574,0.069518,0.517688,0.003655,0.007935,0.012398,0.3987437381891923,,7.50,-1.51,-4.50,0.181962,793.7,250.26,-4.95,-79.85,,,,
1776647925.305050,34,793.9,track,ekf,cheez_it_box_ekf,657,450,0.012327,0.065269,0.507687,0.004692,0.009593,0.012248,0.535036869506001,,7.50,-1.48,-4.50,0.171106,796.8,257.76,-6.43,-84.35,,,,
