timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776647970.781154,1,100.8,detect,foundationpose,cheez_it_box_fp,661,476,0.016631,0.090788,0.546921,0.000000,0.000000,0.000000,0.3,0.5469208359718323,0.00,0.00,0.00,0.000000,2606.4,205.25,5.56,-52.85,0.016631,0.090788,0.546921,
1776647973.387863,2,2606.7,track,foundationpose,cheez_it_box_fp,661,476,0.016606,0.090703,0.546796,-0.000010,-0.000032,-0.000047,0.013856277101878034,0.5467960834503174,0.00,0.00,0.00,0.000000,65.0,205.25,5.56,-52.85,0.016606,0.090703,0.546796,
1776647973.453259,3,65.4,track,foundationpose,cheez_it_box_fp,660,475,0.015995,0.090119,0.546844,-0.005938,-0.005688,0.000471,0.012087852232899798,0.5468589067459106,0.00,0.00,0.00,0.000000,33.6,205.25,5.56,-52.85,0.015798,0.089931,0.546859,
1776647973.487093,4,33.8,track,foundationpose,cheez_it_box_fp,660,475,0.015687,0.089662,0.546826,-0.006995,-0.008298,0.000134,0.010879209171214595,0.5468060374259949,0.00,0.00,0.00,0.000000,30.5,205.25,5.56,-52.85,0.015619,0.089494,0.546806,
1776647973.517789,5,30.7,track,foundationpose,cheez_it_box_fp,660,475,0.015453,0.089603,0.546812,-0.007166,-0.006499,-0.000033,0.010208673419860599,0.5467975735664368,0.00,0.00,0.00,0.000000,30.5,205.25,5.56,-52.85,0.015437,0.089770,0.546798,
1776647973.548522,6,30.7,track,foundationpose,cheez_it_box_fp,660,475,0.015333,0.089566,0.546796,-0.006342,-0.005152,-0.000160,0.009794926471530503,0.546781063079834,0.00,0.00,0.00,0.000000,29.6,205.25,5.56,-52.85,0.015433,0.089731,0.546781,
1776647973.578416,7,29.9,track,foundationpose,cheez_it_box_fp,660,475,0.015284,0.089584,0.546795,-0.005286,-0.003870,-0.000130,0.009431743426832328,0.5468001365661621,0.00,0.00,0.00,0.000000,22.9,205.25,5.56,-52.85,0.015449,0.089784,0.546800,
1776647973.601566,8,23.1,track,foundationpose,cheez_it_box_fp,660,475,0.015309,0.089584,0.546817,-0.004259,-0.003241,0.000046,0.008861424004194509,0.5468534827232361,0.00,0.00,0.00,0.000000,15.0,205.25,5.56,-52.85,0.015521,0.089714,0.546853,
1776647973.616875,9,15.3,track,foundationpose,cheez_it_box_fp,660,475,0.015374,0.089627,0.546812,-0.003373,-0.002614,0.000006,0.008166688038789564,0.5468013286590576,0.00,0.00,0.00,0.000000,15.0,205.25,5.56,-52.85,0.015619,0.089800,0.546801,
1776647973.632073,10,15.2,track,foundationpose,cheez_it_box_fp,660,475,0.015382,0.089633,0.546792,-0.002980,-0.002311,-0.000131,0.007736848072296796,0.546746551990509,0.00,0.00,0.00,0.000000,14.7,205.25,5.56,-52.85,0.015512,0.089733,0.546747,
1776647973.647071,11,15.0,track,foundationpose,cheez_it_box_fp,660,475,0.015366,0.089598,0.546777,-0.002789,-0.002312,-0.000215,0.007448942724298032,0.5467460751533508,0.00,0.00,0.00,0.000000,17.4,205.25,5.56,-52.85,0.015438,0.089598,0.546746,
1776647973.664723,12,17.7,track,foundationpose,cheez_it_box_fp,660,475,0.015377,0.089614,0.546750,-0.002397,-0.001943,-0.000363,0.007373594258662007,0.5466921329498291,0.00,0.00,0.00,0.000000,16.4,205.25,5.56,-52.85,0.015531,0.089759,0.546692,
1776647973.681362,13,16.6,track,foundationpose,cheez_it_box_fp,660,475,0.015367,0.089604,0.546735,-0.002212,-0.001805,-0.000424,0.007267904860991352,0.5467096567153931,0.00,0.00,0.00,0.000000,16.5,205.25,5.56,-52.85,0.015444,0.089661,0.546710,
1776647973.698067,14,16.7,track,foundationpose,cheez_it_box_fp,660,475,0.015380,0.089641,0.546750,-0.001900,-0.001386,-0.000286,0.007191606922671264,0.546809732913971,0.00,0.00,0.00,0.000000,15.6,205.25,5.59,-52.85,0.015516,0.089823,0.546810,
1776647973.713842,15,15.8,track,foundationpose,cheez_it_box_fp,660,475,0.015411,0.089659,0.546741,-0.001524,-0.001138,-0.000310,0.007091694382354754,0.5467305183410645,0.00,0.00,0.00,0.000000,15.6,205.25,5.59,-52.85,0.015584,0.089773,0.546731,
1776647973.729687,16,15.8,track,foundationpose,cheez_it_box_fp,660,475,0.015454,0.089667,0.546745,-0.001118,-0.000985,-0.000256,0.007021319906152983,0.546771228313446,0.00,0.00,0.00,0.000000,14.8,205.25,5.59,-52.85,0.015647,0.089740,0.546771,
1776647973.744774,17,15.1,track,foundationpose,cheez_it_box_fp,660,475,0.015479,0.089693,0.546752,-0.000864,-0.000734,-0.000190,0.006935501217209141,0.5467848181724548,0.00,0.00,0.00,0.000000,16.6,205.25,5.59,-52.85,0.015605,0.089818,0.546785,
1776647973.761636,18,16.9,track,foundationpose,cheez_it_box_fp,660,475,0.015512,0.089735,0.546742,-0.000583,-0.000411,-0.000231,0.006950012990729724,0.546722412109375,0.00,0.00,0.00,0.000000,15.1,205.25,5.59,-52.85,0.015652,0.089896,0.546722,
1776647973.776934,19,15.3,track,foundationpose,cheez_it_box_fp,660,475,0.015526,0.089764,0.546733,-0.000444,-0.000200,-0.000268,0.006887867302201794,0.5467132329940796,0.00,0.00,0.00,0.000000,14.8,205.25,5.59,-52.85,0.015598,0.089873,0.546713,
1776647973.791962,20,15.0,track,foundationpose,cheez_it_box_fp,660,475,0.015528,0.089742,0.546748,-0.000397,-0.000316,-0.000152,0.006830813058002341,0.5468096733093262,0.00,0.00,0.00,0.000000,14.9,205.25,5.59,-52.85,0.015552,0.089680,0.546810,
1776647973.807101,21,15.1,track,foundationpose,cheez_it_box_fp,660,475,0.015502,0.089708,0.546767,-0.000513,-0.000489,-0.000028,0.0067943862194306225,0.5468336939811707,0.00,0.00,0.00,0.000000,15.3,205.25,5.59,-52.85,0.015439,0.089615,0.546834,
