timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776648010.828026,1,100.5,detect,ibvs,cheez_it_box_pbvs,658,479,0.014163,0.093632,0.550779,0.000000,0.000000,0.000000,0.4472135954999579,0.5507790283806849,0.00,0.00,0.00,0.000000,2207.0,205.25,5.56,-52.85,,,,0.00
1776648013.035740,2,2207.7,track,ibvs,cheez_it_box_pbvs,658,479,0.014163,0.093632,0.550779,0.000000,0.000000,0.000000,1.5924202731675028,,0.00,0.00,0.00,0.000000,1074.3,205.25,13.56,-52.85,,,,0.00
1776648014.110204,3,1074.5,track,ibvs,cheez_it_box_pbvs,668,476,0.022028,0.091286,0.550853,0.007296,-0.002157,0.000179,2.3474076883330346,,0.00,0.00,0.00,0.000000,183.8,205.25,13.56,-52.85,,,,0.00
1776648014.294209,4,184.0,track,ibvs,cheez_it_box_pbvs,668,476,0.024779,0.101904,0.615242,0.006572,0.001339,0.018625,1.0933970587964208,,0.00,0.00,0.00,0.000000,178.4,205.25,13.56,-52.85,,,,0.00
1776648014.472866,5,178.7,track,ibvs,cheez_it_box_pbvs,668,476,0.021701,0.090346,0.545012,-0.000450,-0.000157,-0.001647,0.10092826830224398,0.5446432198152669,0.00,0.00,0.00,0.000000,213.5,205.25,13.56,-52.85,,,,0.00
1776648014.686639,6,213.8,track,ibvs,cheez_it_box_pbvs,668,476,0.021773,0.090276,0.544737,0.000084,-0.000323,-0.001674,0.11266272551580564,,0.00,0.00,0.00,0.000000,182.2,205.25,13.56,-52.85,,,,0.00
1776648014.869106,7,182.5,track,ibvs,cheez_it_box_pbvs,668,476,0.021779,0.090220,0.544432,0.000048,-0.000312,-0.001673,0.13039266908320293,,0.00,0.00,0.00,0.000000,188.0,205.25,13.56,-52.85,,,,0.00
1776648015.057300,8,188.2,track,ibvs,cheez_it_box_pbvs,668,476,0.021767,0.090167,0.544117,-0.000026,-0.000290,-0.001674,0.1537582033177709,,0.00,0.00,0.00,0.000000,180.2,205.25,13.56,-52.85,,,,0.00
1776648015.237703,9,180.4,track,ibvs,cheez_it_box_pbvs,668,476,0.021754,0.090118,0.543815,-0.000059,-0.000280,-0.001674,0.17949287183568108,,0.00,0.00,0.00,0.000000,184.1,205.25,13.56,-52.85,,,,0.00
1776648015.422067,10,184.4,track,ibvs,cheez_it_box_pbvs,668,476,0.021545,0.089257,0.538620,-0.000218,-0.000901,-0.005449,0.0913937788507699,0.5374588768183854,0.00,0.00,0.00,0.000000,212.0,205.25,13.56,-52.85,,,,0.00
1776648015.634384,11,212.3,track,ibvs,cheez_it_box_pbvs,668,477,0.021495,0.089743,0.537370,-0.000231,0.001372,-0.005813,0.10893795549457941,,0.00,0.00,0.00,0.000000,189.0,205.25,7.43,-52.85,,,,0.00
1776648015.823609,12,189.2,track,ibvs,cheez_it_box_pbvs,666,479,0.020080,0.090982,0.535948,-0.005258,0.005085,-0.006406,0.12790768754030749,,0.00,0.00,0.00,0.000000,193.3,205.25,7.43,-52.85,,,,0.00
1776648016.017259,13,193.7,track,ibvs,cheez_it_box_pbvs,660,479,0.015652,0.090815,0.533545,-0.017349,0.001610,-0.006503,0.14957273650076328,,0.00,0.00,0.00,0.000000,190.1,205.25,5.56,-52.85,,,,0.00
1776648016.207610,14,190.4,track,ibvs,cheez_it_box_pbvs,657,479,0.012883,0.090706,0.533145,-0.015494,-0.000275,-0.005620,0.17129739019765808,,0.00,0.00,0.00,0.000000,190.2,205.25,5.56,-52.85,,,,0.00
1776648016.398081,15,190.5,track,ibvs,cheez_it_box_pbvs,657,479,0.012661,0.091181,0.536214,-0.005911,-0.000401,-0.002530,0.09030753945832887,0.5373826202731834,0.00,0.00,0.00,0.000000,222.1,205.25,5.57,-49.55,,,,0.00
1776648016.620504,16,222.4,track,ibvs,cheez_it_box_pbvs,657,480,0.012841,0.091644,0.534973,-0.000964,0.001686,-0.003212,0.10594738924717155,,0.00,0.00,0.00,0.000000,187.4,205.25,5.57,-49.55,,,,0.00
1776648016.808158,17,187.7,track,ibvs,cheez_it_box_pbvs,658,483,0.013599,0.093527,0.533460,0.002575,0.007862,-0.004754,0.12179596328132813,,0.00,0.00,0.00,0.000000,182.2,205.25,5.56,-44.85,,,,0.00
1776648016.990563,18,182.4,track,ibvs,cheez_it_box_pbvs,658,488,0.013695,0.096799,0.530866,0.001280,0.015452,-0.007068,0.13900897804124454,,0.00,0.00,0.00,0.000000,184.5,205.25,5.56,-44.85,,,,0.00
1776648017.175280,19,184.7,track,ibvs,cheez_it_box_pbvs,657,489,0.013044,0.098238,0.531751,-0.002128,0.009266,-0.004407,0.15777918597152085,,0.00,0.00,0.00,0.000000,191.5,205.25,5.56,-44.85,,,,0.00
1776648017.367004,20,191.7,track,ibvs,cheez_it_box_pbvs,657,489,0.013583,0.103700,0.560685,-0.000987,0.006535,0.016159,0.0886797260227387,0.5707032075795068,0.00,0.00,0.00,0.000000,218.5,205.25,5.56,-44.85,,,,0.00
1776648017.585781,21,218.8,track,ibvs,cheez_it_box_pbvs,657,489,0.013665,0.104076,0.564119,0.000022,0.003174,0.016640,0.1032360549850935,,0.00,0.00,0.00,0.000000,181.4,205.25,5.56,-44.85,,,,0.00
1776648017.767499,22,181.7,track,ibvs,cheez_it_box_pbvs,657,489,0.013760,0.104532,0.567138,0.000365,0.002735,0.016698,0.11784819809926078,,0.00,0.00,0.00,0.000000,183.1,205.25,5.56,-44.85,,,,0.00
1776648017.950802,23,183.3,track,ibvs,cheez_it_box_pbvs,657,489,0.013845,0.105072,0.570188,0.000431,0.002876,0.016669,0.13463986039635015,,0.00,0.00,0.00,0.000000,185.0,205.25,5.56,-44.85,,,,0.00
1776648018.135996,24,185.2,track,ibvs,cheez_it_box_pbvs,657,489,0.013922,0.105639,0.573265,0.000423,0.003005,0.016644,0.1534018117924116,,0.00,0.00,0.00,0.000000,184.4,205.25,5.56,-44.85,,,,0.00
1776648018.320585,25,184.6,track,ibvs,cheez_it_box_pbvs,657,489,0.013881,0.105326,0.571545,0.000335,0.002482,0.013503,0.08799354819707175,0.5698998369699773,0.00,0.00,0.00,0.000000,215.9,205.25,5.56,-45.09,,,,0.00
1776648018.536709,26,216.1,track,ibvs,cheez_it_box_pbvs,657,489,0.013951,0.105865,0.574463,0.000329,0.002490,0.013502,0.10235531210108335,,0.00,0.00,0.00,0.000000,183.7,205.25,5.56,-45.09,,,,0.00
1776648018.720666,27,184.0,track,ibvs,cheez_it_box_pbvs,657,488,0.014014,0.105626,0.577076,0.000337,-0.000095,0.013979,0.11712670462009624,,0.00,0.00,0.00,0.000000,201.2,205.25,5.56,-52.21,,,,0.00
1776648018.922143,28,201.5,track,ibvs,cheez_it_box_pbvs,658,482,0.014811,0.101569,0.579800,0.002894,-0.013652,0.015826,0.13563590965274402,,3.00,-6.01,-12.00,0.000000,950.3,205.25,5.56,-52.21,,,,123.32
1776648019.872694,29,950.6,track,ibvs,cheez_it_box_pbvs,650,465,0.008622,0.089435,0.596282,-0.005904,-0.012940,0.016604,0.24121033581595946,,3.00,-3.30,-12.00,0.000000,946.0,211.25,-3.75,-76.85,,,,105.48
1776648020.818957,30,946.3,track,ibvs,cheez_it_box_pbvs,647,449,0.005695,0.067405,0.529519,-0.001588,-0.015236,-0.016423,0.09750477983805476,0.5232633700213111,3.00,-2.29,-12.00,0.000000,982.7,214.25,-6.04,-88.85,,,,89.27
1776648021.802267,31,983.3,track,ibvs,cheez_it_box_pbvs,647,431,0.005132,0.052070,0.513364,-0.000589,-0.015586,-0.016404,0.1801660729055962,,3.00,-2.31,-12.00,0.000000,938.0,217.25,-8.36,-100.85,,,,71.34
1776648022.740489,32,938.2,track,ibvs,cheez_it_box_pbvs,644,418,0.002854,0.041292,0.498494,-0.002404,-0.011596,-0.016326,0.3025510148680858,,3.00,-1.30,-12.00,0.000000,938.1,220.25,-9.66,-112.85,,,,58.14
1776648023.678827,33,938.3,track,ibvs,cheez_it_box_pbvs,642,399,0.001379,0.026934,0.483297,-0.001584,-0.015243,-0.016177,0.45176010762145585,,3.00,-0.64,-12.00,0.000000,943.5,223.25,-10.30,-124.85,,,,39.05
1776648024.622706,34,943.9,track,ibvs,cheez_it_box_pbvs,649,432,0.005995,0.049261,0.512222,0.004749,0.020951,-0.003752,0.6107286971652133,,3.00,-2.99,-12.00,0.000000,941.7,226.25,-13.30,-136.85,,,,72.56
