timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776984813.993845,1,100.3,detect,ekf,protein_bar_ekf,,,,,,,,,,,0.00,0.00,0.00,0.000000,6061.2,205.26,5.56,-52.85,,,,
1776984820.055863,2,6062.0,detect,ekf,protein_bar_ekf,641,434,0.000754,0.055774,0.527592,0.000000,0.000000,0.000000,0.4472135954999579,0.527592211924502,0.00,0.00,0.00,0.000000,5801.7,205.26,5.56,-50.67,,,,
1776984825.857852,3,5802.0,track,ekf,protein_bar_ekf,641,444,0.000753,0.063228,0.526802,-0.000000,0.001281,-0.000135,4.114803345505904,,7.50,-0.09,-4.50,0.187769,3219.3,212.76,5.47,-57.35,,,,
1776984829.077583,4,3219.7,track,ekf,protein_bar_ekf,642,430,0.001234,0.048117,0.528478,0.000426,0.008537,0.008809,5.73340754707292,,7.50,-0.15,-4.50,0.184855,888.1,220.26,5.33,-61.85,,,,
1776984829.966027,5,888.4,track,ekf,protein_bar_ekf,642,424,0.001300,0.040902,0.440088,0.000531,0.010102,0.001036,2.882589265062674,,7.50,-0.16,-4.50,0.098947,909.1,227.76,5.17,-66.35,,,,
1776984830.876584,6,910.6,track,ekf,protein_bar_ekf,643,419,0.002105,0.043962,0.518137,0.001175,0.010384,0.013028,0.10040706760376229,0.5183784018110226,7.50,-0.25,-4.50,0.173802,960.5,235.26,4.92,-70.85,,,,
1776984831.837701,7,961.1,track,ekf,protein_bar_ekf,643,413,0.002172,0.038366,0.506687,0.000916,0.009197,0.013107,0.2493158362287228,,7.50,-0.26,-4.50,0.161331,935.0,242.76,4.66,-75.35,,,,
1776984832.773440,8,935.7,track,ekf,protein_bar_ekf,645,407,0.003537,0.033277,0.495631,0.002306,0.009552,0.013128,0.4650080212955412,,7.50,-0.42,-3.99,0.149427,1227.7,250.26,4.23,-79.35,,,,
1776984834.001473,9,1228.0,track,ekf,protein_bar_ekf,646,401,0.004125,0.028182,0.481145,0.001898,0.009164,0.013172,0.7747066335996357,,7.50,-0.49,-3.38,0.134202,876.9,257.76,3.74,-82.73,,,,
1776984834.879054,10,877.6,track,ekf,protein_bar_ekf,645,427,0.003379,0.045116,0.472353,0.000792,0.030180,0.012762,1.0088003078832402,,7.50,-0.41,-4.50,0.130449,959.3,265.26,3.33,-87.23,,,,
1776984835.838791,11,959.7,track,ekf,protein_bar_ekf,648,391,0.005605,0.027717,0.516587,0.003224,-0.005055,0.026575,0.10033870032906803,0.5137476960573809,7.50,-0.67,-3.33,0.168970,1155.7,272.76,2.66,-90.55,,,,
1776984836.995087,12,1156.3,track,ekf,protein_bar_ekf,651,406,0.008214,0.034125,0.523799,0.004464,0.015970,0.027985,0.20932964110780863,,7.50,-0.99,-4.09,0.177308,1101.0,280.26,1.67,-94.65,,,,
1776984838.096795,13,1101.7,track,ekf,protein_bar_ekf,652,399,0.009118,0.029692,0.531620,0.004081,0.009652,0.029841,0.37407425848079834,,7.50,-1.09,-3.56,0.184257,980.6,287.76,0.58,-98.21,,,,
