timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776648194.827343,1,100.3,detect,foundationpose,protein_bar_2_fp,602,510,-0.029315,0.115503,0.539047,0.000000,0.000000,0.000000,0.3,0.5390469431877136,0.00,0.00,0.00,0.000000,2516.3,205.25,5.56,-52.85,-0.029315,0.115503,0.539047,
1776648197.344440,2,2517.1,track,foundationpose,protein_bar_2_fp,595,518,-0.034841,0.121132,0.538181,-0.002181,0.002222,-0.000339,0.013856267815292884,0.5381811261177063,0.00,0.00,0.00,0.000000,60.1,205.25,5.56,-52.85,-0.034841,0.121132,0.538181,
1776648197.404779,3,60.3,track,foundationpose,protein_bar_2_fp,589,518,-0.038336,0.121890,0.539319,-0.035306,0.008372,0.011750,0.01191572075465772,0.5397031307220459,0.00,0.00,0.00,0.000000,25.7,205.25,5.56,-52.85,-0.039557,0.122117,0.539703,
1776648197.430717,4,25.9,track,foundationpose,protein_bar_2_fp,588,518,-0.039732,0.121905,0.539299,-0.040345,0.006243,0.008216,0.010489685769549692,0.5390638113021851,0.00,0.00,0.00,0.000000,28.5,205.25,5.56,-52.85,-0.040095,0.121751,0.539064,
1776648197.459492,5,28.8,track,foundationpose,protein_bar_2_fp,588,518,-0.040505,0.121789,0.539200,-0.036455,0.003279,0.004791,0.01006715198660795,0.5389072895050049,0.00,0.00,0.00,0.000000,26.3,205.25,5.56,-52.85,-0.040154,0.121522,0.538907,
1776648197.486060,6,26.6,track,foundationpose,protein_bar_2_fp,588,519,-0.040977,0.122010,0.539318,-0.031908,0.004508,0.004699,0.009647349352683254,0.5393071174621582,0.00,0.00,0.00,0.000000,28.4,205.25,5.56,-52.85,-0.040446,0.122154,0.539307,
1776648197.514650,7,28.6,track,foundationpose,protein_bar_2_fp,587,519,-0.041221,0.122152,0.539111,-0.026431,0.004613,0.001888,0.009417243937348593,0.5387182235717773,0.00,0.00,0.00,0.000000,29.5,205.25,5.56,-52.85,-0.040438,0.122167,0.538718,
1776648197.544424,8,29.8,track,foundationpose,protein_bar_2_fp,588,518,-0.041172,0.122007,0.539136,-0.020306,0.002545,0.001658,0.009221223580251445,0.5390969514846802,0.00,0.00,0.00,0.000000,14.4,205.25,5.56,-52.85,-0.040116,0.121650,0.539097,
1776648197.559137,9,14.7,track,foundationpose,protein_bar_2_fp,588,517,-0.040852,0.121734,0.539091,-0.015950,0.000361,0.001166,0.008363589207064656,0.5389702320098877,0.00,0.00,0.00,0.000000,17.6,205.25,5.56,-52.85,-0.039772,0.121192,0.538970,
1776648197.576975,10,17.8,track,foundationpose,protein_bar_2_fp,588,517,-0.040858,0.121447,0.539002,-0.014056,-0.001636,0.000421,0.007992160796314731,0.5387833714485168,0.00,0.00,0.00,0.000000,14.7,205.25,5.56,-52.85,-0.040298,0.120857,0.538783,
1776648197.591922,11,14.9,track,foundationpose,protein_bar_2_fp,588,517,-0.040871,0.121293,0.539035,-0.012749,-0.002498,0.000596,0.007615925937399321,0.5390956401824951,0.00,0.00,0.00,0.000000,15.7,205.25,5.56,-52.85,-0.040416,0.120993,0.539096,
1776648197.607883,12,16.0,track,foundationpose,protein_bar_2_fp,587,518,-0.040970,0.121335,0.539112,-0.012069,-0.001964,0.001036,0.00741143291620209,0.539280116558075,0.00,0.00,0.00,0.000000,13.7,205.25,5.56,-52.85,-0.040710,0.121540,0.539280,
1776648197.621865,13,14.0,track,foundationpose,protein_bar_2_fp,587,517,-0.041107,0.121271,0.539327,-0.011864,-0.002200,0.002322,0.007179079998158494,0.5398711562156677,0.00,0.00,0.00,0.000000,15.4,205.25,5.56,-52.85,-0.041020,0.121171,0.539871,
1776648197.637527,14,15.7,track,foundationpose,protein_bar_2_fp,588,519,-0.041029,0.121507,0.539205,-0.010193,-0.000486,0.001324,0.007093255907171861,0.538762092590332,0.00,0.00,0.00,0.000000,13.3,205.25,5.56,-52.85,-0.040285,0.122270,0.538762,
1776648197.651075,15,13.5,track,foundationpose,protein_bar_2_fp,586,518,-0.041279,0.121472,0.539188,-0.010893,-0.000666,0.001104,0.00693386374630644,0.5390831828117371,0.00,0.00,0.00,0.000000,16.0,205.25,5.58,-52.85,-0.041613,0.121386,0.539083,
1776648197.667308,16,16.2,track,foundationpose,protein_bar_2_fp,587,518,-0.041231,0.121561,0.539148,-0.009505,-0.000045,0.000746,0.0069403832833975585,0.538975715637207,0.00,0.00,0.00,0.000000,13.2,205.25,5.58,-52.85,-0.040561,0.121861,0.538976,
1776648197.680766,17,13.5,track,foundationpose,protein_bar_2_fp,588,520,-0.041021,0.121909,0.539046,-0.007428,0.002096,0.000059,0.006815826383112341,0.5386960506439209,0.00,0.00,0.00,0.000000,14.3,205.25,5.58,-52.85,-0.039961,0.123002,0.538696,
1776648197.695386,18,14.6,track,foundationpose,protein_bar_2_fp,587,519,-0.041039,0.122042,0.538944,-0.006874,0.002716,-0.000569,0.006778122828119862,0.5386168360710144,0.00,0.00,0.00,0.000000,15.8,205.25,5.58,-52.85,-0.040749,0.122365,0.538617,
1776648197.711426,19,16.0,track,foundationpose,protein_bar_2_fp,586,518,-0.041213,0.122039,0.538903,-0.007261,0.002439,-0.000762,0.006811002405357273,0.5388028621673584,0.00,0.00,0.00,0.000000,14.4,205.25,5.58,-52.85,-0.041414,0.121895,0.538803,
1776648197.726283,20,14.9,track,foundationpose,protein_bar_2_fp,587,519,-0.041221,0.122115,0.538969,-0.006665,0.002677,-0.000302,0.0067775973271544596,0.5392124056816101,0.00,0.00,0.00,0.000000,15.4,205.25,5.58,-52.85,-0.040905,0.122242,0.539212,
1776648197.741950,21,15.7,track,foundationpose,protein_bar_2_fp,587,519,-0.041115,0.122292,0.538938,-0.005412,0.003478,-0.000455,0.00678664931936035,0.538856565952301,0.00,0.00,0.00,0.000000,13.8,205.25,5.58,-52.85,-0.040447,0.122719,0.538857,
1776648197.756072,22,14.1,track,foundationpose,protein_bar_2_fp,589,519,-0.040647,0.122295,0.538828,-0.002188,0.003203,-0.001068,0.006722645213456684,0.5384920239448547,0.00,0.00,0.00,0.000000,16.1,205.25,5.58,-52.85,-0.038879,0.122144,0.538492,
1776648197.772443,23,16.4,track,foundationpose,protein_bar_2_fp,588,518,-0.040485,0.122181,0.538811,-0.001020,0.002225,-0.001067,0.006773886429526137,0.5388118624687195,0.00,0.00,0.00,0.000000,14.5,205.25,5.58,-52.85,-0.039852,0.121652,0.538812,
1776648197.787162,24,14.7,track,foundationpose,protein_bar_2_fp,588,518,-0.040451,0.122179,0.538890,-0.000738,0.002022,-0.000513,0.006735423425933748,0.5391945838928223,0.00,0.00,0.00,0.000000,16.6,205.25,5.58,-52.85,-0.040295,0.122067,0.539195,
1776648197.804034,25,16.9,track,foundationpose,protein_bar_2_fp,588,519,-0.040416,0.122248,0.538944,-0.000461,0.002224,-0.000145,0.006799784158472764,0.5391436219215393,0.00,0.00,0.00,0.000000,12.9,205.25,5.58,-52.85,-0.040267,0.122357,0.539144,
1776648197.817138,26,13.1,track,foundationpose,protein_bar_2_fp,589,518,-0.040214,0.122193,0.538943,0.000753,0.001733,-0.000138,0.006680271841889758,0.5389469861984253,0.00,0.00,0.00,0.000000,15.4,205.25,5.58,-52.85,-0.039526,0.121914,0.538947,
1776648197.832764,27,15.6,track,foundationpose,protein_bar_2_fp,588,518,-0.040204,0.122089,0.538902,0.000744,0.000975,-0.000368,0.006705495126384096,0.5387730598449707,0.00,0.00,0.00,0.000000,14.5,205.25,5.58,-52.85,-0.040209,0.121664,0.538773,
1776648197.847489,28,14.7,track,foundationpose,protein_bar_2_fp,588,518,-0.040148,0.121975,0.538914,0.001006,0.000227,-0.000266,0.006683664985772152,0.5389711856842041,0.00,0.00,0.00,0.000000,15.3,205.25,5.58,-52.85,-0.039999,0.121551,0.538971,
1776648197.863160,29,15.7,track,foundationpose,protein_bar_2_fp,590,518,-0.039788,0.121841,0.538958,0.003002,-0.000572,0.000015,0.006708862243324534,0.5391161441802979,0.00,0.00,0.00,0.000000,14.9,205.25,5.58,-52.85,-0.038665,0.121391,0.539116,
1776648197.878314,30,15.2,track,foundationpose,protein_bar_2_fp,589,517,-0.039550,0.121527,0.538932,0.004117,-0.002345,-0.000137,0.006703604175942857,0.5388466715812683,0.00,0.00,0.00,0.000000,14.5,205.25,5.58,-52.85,-0.038922,0.120526,0.538847,
1776648197.893157,31,14.8,track,foundationpose,protein_bar_2_fp,589,516,-0.039396,0.121239,0.538881,0.004656,-0.003811,-0.000420,0.00668623839245125,0.5387207865715027,0.00,0.00,0.00,0.000000,15.3,205.25,5.58,-52.85,-0.039090,0.120406,0.538721,
1776648197.908649,32,15.5,track,foundationpose,protein_bar_2_fp,588,517,-0.039449,0.121092,0.538895,0.003932,-0.004323,-0.000303,0.006701825556041506,0.5389606952667236,0.00,0.00,0.00,0.000000,13.6,205.25,5.58,-52.85,-0.039859,0.120802,0.538961,
