timestamp,frame,dt_ms,mode,pipeline,run_tag,centroid_u,centroid_v,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_uncertainty,depth_metric,servo_dx_mm,servo_dy_mm,servo_dz_mm,err_m,iter_time_ms,robot_x_mm,robot_y_mm,robot_z_mm,fp_raw_x,fp_raw_y,fp_raw_z,err_px
1776648234.897804,1,100.5,detect,ibvs,protein_bar_2_pbvs,637,494,-0.002191,0.097873,0.511277,0.000000,0.000000,0.000000,0.4472135954999579,0.5112765290610984,0.00,0.00,0.00,0.000000,2110.8,205.25,5.56,-52.85,,,,0.00
1776648237.009263,2,2111.5,track,ibvs,protein_bar_2_pbvs,637,494,-0.002191,0.097873,0.511277,0.000000,0.000000,0.000000,1.5256384718618548,,0.00,0.00,0.00,0.000000,975.1,205.25,13.56,-52.85,,,,0.00
1776648237.984609,3,975.3,track,ibvs,protein_bar_2_pbvs,626,495,-0.010220,0.098593,0.511226,-0.008198,0.000713,-0.000172,2.209581232430314,,0.00,0.00,0.00,0.000000,92.1,205.25,13.56,-52.85,,,,0.00
1776648238.076949,4,92.3,track,ibvs,protein_bar_2_pbvs,647,493,-0.013505,0.262770,1.369354,-0.000122,0.050645,0.267549,0.6580915220343997,,0.00,0.00,0.00,0.000000,183.8,205.25,13.56,-52.85,,,,0.00
1776648238.260940,5,184.0,track,ibvs,protein_bar_2_pbvs,647,494,0.021623,0.103713,0.547185,0.103877,-0.003994,0.003602,0.1006009448216094,0.5301287892276547,0.00,0.00,0.00,0.000000,123.5,205.25,13.56,-52.85,,,,0.00
1776648238.384744,6,123.8,track,ibvs,protein_bar_2_pbvs,647,494,0.012035,0.118985,0.623288,0.031785,0.006405,0.036916,0.09337160257802028,,0.00,0.00,0.00,0.000000,89.5,205.25,13.56,-52.85,,,,0.00
1776648238.474501,7,89.8,track,ibvs,protein_bar_2_pbvs,647,494,0.007652,0.113308,0.592275,0.001757,0.004621,0.020645,0.09002801761702109,,0.00,0.00,0.00,0.000000,90.5,205.25,13.56,-52.85,,,,0.00
1776648238.565240,8,90.7,track,ibvs,protein_bar_2_pbvs,648,494,0.007026,0.113266,0.591697,-0.001653,0.004419,0.019469,0.09537211636253735,,0.00,0.00,0.00,0.000000,90.6,205.25,13.56,-52.85,,,,0.00
1776648238.656044,9,90.8,track,ibvs,protein_bar_2_pbvs,648,493,0.006811,0.113042,0.593576,-0.001958,0.001458,0.020048,0.1054599713161516,,0.00,0.00,0.00,0.000000,90.3,205.25,13.56,-52.85,,,,0.00
1776648238.746606,10,90.6,track,ibvs,protein_bar_2_pbvs,648,493,0.006378,0.106088,0.558343,-0.000429,-0.006601,-0.021944,0.07693554792132225,0.5301935337807656,0.00,0.00,0.00,0.000000,123.8,205.25,13.56,-52.85,,,,0.00
